Company Name,CEO Name,CEO Pay,Median Employee Pay,CEO Pay Ratio
"Nike, Inc.",na,-1,-1,-1
NiSource Inc.,Joseph Hamrock,5778515,97754,59
Norfolk Southern Corp.,James A. Squires,14290805,98477,145
Northern Trust Corp.,Michael G. O'Grady,9459768,76636,123
Northrop Grumman,Kathy J. Warden,20307994,114667,177
NortonLifeLock,na,-1,-1,-1
Norwegian Cruise Line Holdings,na,-1,-1,-1
NRG Energy,Mauricio Gutierrez,9146053,114883,80
Nucor Corp.,John J. Ferriola,19099582,87573,218
Nvidia Corporation,Jen-Hsun Huang,13642838,155035,88
"NVR, Inc.",Paul C. Saville,3987000,78448,51
O'Reilly Automotive,Greg D. Johnson,4866262,21373,228
Occidental Petroleum,Vicki A. Hollub,16017683,185259,86
Old Dominion Freight Line,na,-1,-1,-1
Omnicom Group,John D. Wren,19818780,44059,450
ONEOK,Terry K. Spencer,10945741,136080,80
Oracle Corp.,Safra A. Catz,964055,87402,11
Otis Worldwide,na,-1,-1,-1
PACCAR Inc.,na,-1,-1,-1
Packaging Corporation of America,Mark W. Kowlzan,10338117,71268,145
Parker-Hannifin,Thomas L. Williams,17472500,57282,305
Paychex Inc.,Martin Mucci,8068717,59642,135
Paycom,na,-1,-1,-1
PayPal,na,-1,-1,-1
Pentair plc,John L. Stauch,6413860,59187,108
People's United Financial,John P. Barnes,5700284,66596,86
PepsiCo Inc.,Ramon Laguarta,16870817,45896,368
PerkinElmer,Prahlad R. Singh PhD,16481787,46161,357
Perrigo,na,-1,-1,-1
Pfizer Inc.,A. Bourla,17928963,98972,181
Philip Morris International,Andre Calantzopoulos,22125060,19134,1156
Phillips 66,Greg Garland,31927081,188738,169
Pinnacle West Capital,Donald E. Brandt,12145522,133779,91
Pioneer Natural Resources,na,-1,-1,-1
PNC Financial Services,na,-1,-1,-1
Pool Corporation,Peter D. Arvan,3290220,50095,66
PPG Industries,M. H. McGarry,15117938,40598,372
PPL Corp.,William H. Spence,14142567,147463,96
Principal Financial Group,na,-1,-1,-1
Procter & Gamble,David S. Taylor,22905128,68883,333
Progressive Corp.,na,-1,-1,-1
Prologis,Hamid Moghadam,30383438,117751,258
Prudential Financial,Charles F. Lowrey,26634837,104092,256
Public Service Enterprise Group (PSEG),na,-1,-1,-1
Public Storage,Joseph D. Russell Jr.,4289200,26001,165
PulteGroup,Ryan R. Marshall,9216065,96842,95
PVH Corp.,na,-1,-1,-1
Qorvo,Robert A. Bruggeworth,7394904,47290,156
Quanta Services Inc.,Earl C. (Duke) Austin Jr.,8808204,87144,101
QUALCOMM Inc.,Steve Mollenkopf,23065052,90259,256
Quest Diagnostics,Stephen H. Rusckowski,9966964,46749,213
Ralph Lauren Corporation,Patrice Louvet,12170470,21358,570
Raymond James Financial Inc.,na,-1,-1,-1
Raytheon Technologies,na,-1,-1,-1
Realty Income Corporation,Sumit Roy,7538883,99644,76
Regency Centers Corporation,Martin E. Stein Jr.,5619541,101379,55
Regeneron Pharmaceuticals,Leonard S. Schleifer M.D. Ph.D.,26520555,134115,198
Regions Financial Corp.,John M. Turner Jr.,13128415,60621,217
Republic Services Inc,Donald W. Slager,12617294,63899,197
ResMed,Michael Farrell,9635100,60918,158
Robert Half International,na,-1,-1,-1
Rockwell Automation Inc.,na,-1,-1,-1
Rollins Inc.,Gary W. Rollins,4780854,50134,95
Roper Technologies,L. Neil Hunn,29054430,88707,328
Ross Stores,Barbara Rentler,12248994,10027,1222
Royal Caribbean Group,na,-1,-1,-1
"S&P Global, Inc.",Douglas L. Peterson,12152512,27860,436
Salesforce.com,na,-1,-1,-1
SBA Communications,Jeffrey A. Stoops,10156251,92370,110
Schlumberger Ltd.,Olivier Le Peuch,22247160,71021,313
Seagate Technology,William D. Mosley,11698767,9471,1235
Sealed Air,Edward L. Doheny II,8989757,55804,161
Sempra Energy,Jeffrey W. Martin,19829297,145951,136
ServiceNow,William R. McDermott,21561715,223554,96
Sherwin-Williams,John G. Morikis,14854731,42590,349
Simon Property Group Inc,David Simon,10439378,62457,167
Skyworks Solutions,Liam K. Griffin,13660593,21852,625
SL Green Realty,Marc Holliday,20990016,71887,292
Snap-on,Nicholas T. Pinchuk,7560073,60721,125
Southern Company,Thomas A. Fanning,13097691,113035,116
Southwest Airlines,Gary C. Kelly,7726455,78494,98
Stanley Black & Decker,James M. Loree,18707111,43316,432
Starbucks Corp.,Kevin R. Johnson,19241950,11489,1675
State Street Corp.,Joseph L. Hooley,16119826,68527,235
STERIS plc,Walter M Rosebrough Jr.,6495539,61717,105
Stryker Corp.,Kevin A. Lobo,14974829,70771,212
SVB Financial,na,-1,-1,-1
Synchrony Financial,Margaret Keane,12181183,45407,268
Synopsys Inc.,na,-1,-1,-1
Sysco Corp.,Thomas L. Bené,10742679,70801,152
T-Mobile US,John J. Legere,27762231,62195,446
T. Rowe Price Group,na,-1,-1,-1
Take-Two Interactive,na,-1,-1,-1
"Tapestry, Inc.",Jide Zeitlin,4911860,28523,172
Target Corp.,Brian C. Cornell,18938363,23080,821
TE Connectivity Ltd.,Terrence R. Curtin,9291836,20846,446
TechnipFMC,Douglas J. Pferdehirt,15351206,63294,243
Teledyne Technologies,na,-1,-1,-1
Teleflex,Liam J. Kelly,6782758,46589,146
Teradyne,Mark E. Jagiela,8007913,97185,82
Texas Instruments,Richard K. Templeton,18655972,82034,227
Textron Inc.,Scott C. Donnelly,18942936,99196,191
Thermo Fisher Scientific,Marc N. Casper,19023145,80915,235
Tiffany & Co.,Alessandro Bogliolo,10940139,33642,325
TJX Companies Inc.,na,-1,-1,-1
Tractor Supply Company,na,-1,-1,-1
Trane Technologies plc,na,-1,-1,-1
TransDigm Group,Kevin Stein,13135200,44072,298
