Company Name,CEO Name,CEO Pay,Median Employee Pay,CEO Pay Ratio,GICS Sector,GICS Sub-Industry
Morgan Stanley,James P. Gorman,31642395,127414,248,Financials,Investment Banking & Brokerage
The Mosaic Company,na,-1,-1,-1,Materials,Fertilizers & Agricultural Chemicals
Motorola Solutions Inc.,Gregory Q. Brown,23619990,93750,252,Information Technology,Communications Equipment
MSCI Inc,Henry A. Fernandez,9255960,55857,166,Financials,Financial Exchanges & Data
Mylan N.V.,Heather Bresch,13346299,42407,315,Health Care,Pharmaceuticals
"Nasdaq, Inc.",Adena T. Friedman,13869051,120822,115,Financials,Financial Exchanges & Data
National Oilwell Varco Inc.,Clay C. Williams,9253961,51374,180,Energy,Oil & Gas Equipment & Services
NetApp,George Kurian,13164969,198620,66,Information Technology,"Technology Hardware, Storage & Peripherals"
Netflix Inc.,Reed Hastings,38577129,202931,190,Communication Services,Movies & Entertainment
Newell Brands,Ravichandra K. Saligram,8624805,31704,272,Consumer Discretionary,Housewares & Specialties
Newmont Corporation,na,-1,-1,-1,Materials,Gold
News Corp.,na,-1,-1,-1,Communication Services,Publishing
NextEra Energy,James L. Robo,21877597,129735,169,Utilities,Multi-Utilities
Nielsen Holdings,David Kenny,12936400,32646,396,Industrials,Research & Consulting Services
"Nike, Inc.",na,-1,-1,-1,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
NiSource Inc.,Joseph Hamrock,5778515,97754,59,Utilities,Multi-Utilities
Norfolk Southern Corp.,James A. Squires,14290805,98477,145,Industrials,Railroads
Northern Trust Corp.,Michael G. O'Grady,9459768,76636,123,Financials,Asset Management & Custody Banks
Northrop Grumman,Kathy J. Warden,20307994,114667,177,Industrials,Aerospace & Defense
NortonLifeLock,na,-1,-1,-1,Information Technology,Application Software
Norwegian Cruise Line Holdings,na,-1,-1,-1,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
NRG Energy,Mauricio Gutierrez,9146053,114883,80,Utilities,Independent Power Producers & Energy Traders
Nucor Corp.,John J. Ferriola,19099582,87573,218,Materials,Steel
Nvidia Corporation,Jen-Hsun Huang,13642838,155035,88,Information Technology,Semiconductors
"NVR, Inc.",Paul C. Saville,3987000,78448,51,Consumer Discretionary,Homebuilding
O'Reilly Automotive,Greg D. Johnson,4866262,21373,228,Consumer Discretionary,Specialty Stores
Occidental Petroleum,Vicki A. Hollub,16017683,185259,86,Energy,Oil & Gas Exploration & Production
Old Dominion Freight Line,na,-1,-1,-1,Industrials,Trucking
Omnicom Group,John D. Wren,19818780,44059,450,Communication Services,Advertising
ONEOK,Terry K. Spencer,10945741,136080,80,Energy,Oil & Gas Storage & Transportation
Oracle Corp.,Safra A. Catz,964055,87402,11,Information Technology,Application Software
Otis Worldwide,na,-1,-1,-1,Industrials,Industrial Machinery
PACCAR Inc.,na,-1,-1,-1,Industrials,Construction Machinery & Heavy Trucks
Packaging Corporation of America,Mark W. Kowlzan,10338117,71268,145,Materials,Paper Packaging
Parker-Hannifin,Thomas L. Williams,17472500,57282,305,Industrials,Industrial Machinery
Paychex Inc.,Martin Mucci,8068717,59642,135,Information Technology,Data Processing & Outsourced Services
Paycom,na,-1,-1,-1,Information Technology,Application Software
PayPal,na,-1,-1,-1,Information Technology,Data Processing & Outsourced Services
Pentair plc,John L. Stauch,6413860,59187,108,Industrials,Industrial Machinery
People's United Financial,John P. Barnes,5700284,66596,86,Financials,Thrifts & Mortgage Finance
PepsiCo Inc.,Ramon Laguarta,16870817,45896,368,Consumer Staples,Soft Drinks
PerkinElmer,Prahlad R. Singh PhD,16481787,46161,357,Health Care,Health Care Equipment
Perrigo,na,-1,-1,-1,Health Care,Pharmaceuticals
Pfizer Inc.,A. Bourla,17928963,98972,181,Health Care,Pharmaceuticals
Philip Morris International,Andre Calantzopoulos,22125060,19134,1156,Consumer Staples,Tobacco
Phillips 66,Greg Garland,31927081,188738,169,Energy,Oil & Gas Refining & Marketing
Pinnacle West Capital,Donald E. Brandt,12145522,133779,91,Utilities,Multi-Utilities
Pioneer Natural Resources,na,-1,-1,-1,Energy,Oil & Gas Exploration & Production
PNC Financial Services,na,-1,-1,-1,Financials,Regional Banks
Pool Corporation,Peter D. Arvan,3290220,50095,66,Consumer Discretionary,Distributors
PPG Industries,M. H. McGarry,15117938,40598,372,Materials,Specialty Chemicals
PPL Corp.,William H. Spence,14142567,147463,96,Utilities,Electric Utilities
Principal Financial Group,na,-1,-1,-1,Financials,Life & Health Insurance
Procter & Gamble,David S. Taylor,22905128,68883,333,Consumer Staples,Personal Products
Progressive Corp.,na,-1,-1,-1,Financials,Property & Casualty Insurance
Prologis,Hamid Moghadam,30383438,117751,258,Real Estate,Industrial REITs
Prudential Financial,Charles F. Lowrey,26634837,104092,256,Financials,Life & Health Insurance
Public Service Enterprise Group (PSEG),na,-1,-1,-1,Utilities,Electric Utilities
Public Storage,Joseph D. Russell Jr.,4289200,26001,165,Real Estate,Specialized REITs
PulteGroup,Ryan R. Marshall,9216065,96842,95,Consumer Discretionary,Homebuilding
PVH Corp.,na,-1,-1,-1,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Qorvo,Robert A. Bruggeworth,7394904,47290,156,Information Technology,Semiconductors
Quanta Services Inc.,Earl C. (Duke) Austin Jr.,8808204,87144,101,Industrials,Construction & Engineering
QUALCOMM Inc.,Steve Mollenkopf,23065052,90259,256,Information Technology,Semiconductors
Quest Diagnostics,Stephen H. Rusckowski,9966964,46749,213,Health Care,Health Care Services
Ralph Lauren Corporation,Patrice Louvet,12170470,21358,570,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Raymond James Financial Inc.,na,-1,-1,-1,Financials,Investment Banking & Brokerage
Raytheon Technologies,na,-1,-1,-1,Industrials,Aerospace & Defense
Realty Income Corporation,Sumit Roy,7538883,99644,76,Real Estate,Retail REITs
Regency Centers Corporation,Martin E. Stein Jr.,5619541,101379,55,Real Estate,Retail REITs
Regeneron Pharmaceuticals,Leonard S. Schleifer M.D. Ph.D.,26520555,134115,198,Health Care,Biotechnology
Regions Financial Corp.,John M. Turner Jr.,13128415,60621,217,Financials,Regional Banks
Republic Services Inc,Donald W. Slager,12617294,63899,197,Industrials,Environmental & Facilities Services
ResMed,Michael Farrell,9635100,60918,158,Health Care,Health Care Equipment
Robert Half International,na,-1,-1,-1,Industrials,Human Resource & Employment Services
Rockwell Automation Inc.,na,-1,-1,-1,Industrials,Electrical Components & Equipment
Rollins Inc.,Gary W. Rollins,4780854,50134,95,Industrials,Environmental & Facilities Services
Roper Technologies,L. Neil Hunn,29054430,88707,328,Industrials,Industrial Conglomerates
Ross Stores,Barbara Rentler,12248994,10027,1222,Consumer Discretionary,Apparel Retail
Royal Caribbean Group,na,-1,-1,-1,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
"S&P Global, Inc.",Douglas L. Peterson,12152512,27860,436,Financials,Financial Exchanges & Data
Salesforce.com,na,-1,-1,-1,Information Technology,Application Software
SBA Communications,Jeffrey A. Stoops,10156251,92370,110,Real Estate,Specialized REITs
Schlumberger Ltd.,Olivier Le Peuch,22247160,71021,313,Energy,Oil & Gas Equipment & Services
Seagate Technology,William D. Mosley,11698767,9471,1235,Information Technology,"Technology Hardware, Storage & Peripherals"
Sealed Air,Edward L. Doheny II,8989757,55804,161,Materials,Paper Packaging
Sempra Energy,Jeffrey W. Martin,19829297,145951,136,Utilities,Multi-Utilities
ServiceNow,William R. McDermott,21561715,223554,96,Information Technology,Systems Software
Sherwin-Williams,John G. Morikis,14854731,42590,349,Materials,Specialty Chemicals
Simon Property Group Inc,David Simon,10439378,62457,167,Real Estate,Retail REITs
Skyworks Solutions,Liam K. Griffin,13660593,21852,625,Information Technology,Semiconductors
SL Green Realty,Marc Holliday,20990016,71887,292,Real Estate,Office REITs
Snap-on,Nicholas T. Pinchuk,7560073,60721,125,Industrials,Industrial Machinery
Southern Company,Thomas A. Fanning,13097691,113035,116,Utilities,Electric Utilities
Southwest Airlines,Gary C. Kelly,7726455,78494,98,Industrials,Airlines
Stanley Black & Decker,James M. Loree,18707111,43316,432,Industrials,Industrial Machinery
Starbucks Corp.,Kevin R. Johnson,19241950,11489,1675,Consumer Discretionary,Restaurants
State Street Corp.,Joseph L. Hooley,16119826,68527,235,Financials,Asset Management & Custody Banks
STERIS plc,Walter M Rosebrough Jr.,6495539,61717,105,Health Care,Health Care Equipment
Stryker Corp.,Kevin A. Lobo,14974829,70771,212,Health Care,Health Care Equipment
SVB Financial,na,-1,-1,-1,Financials,Regional Banks
Synchrony Financial,Margaret Keane,12181183,45407,268,Financials,Consumer Finance
Synopsys Inc.,na,-1,-1,-1,Information Technology,Application Software
Sysco Corp.,Thomas L. Bené,10742679,70801,152,Consumer Staples,Food Distributors
T-Mobile US,John J. Legere,27762231,62195,446,Communication Services,Wireless Telecommunication Services
T. Rowe Price Group,na,-1,-1,-1,Financials,Asset Management & Custody Banks
Take-Two Interactive,na,-1,-1,-1,Communication Services,Interactive Home Entertainment
"Tapestry, Inc.",Jide Zeitlin,4911860,28523,172,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Target Corp.,Brian C. Cornell,18938363,23080,821,Consumer Discretionary,General Merchandise Stores
TE Connectivity Ltd.,Terrence R. Curtin,9291836,20846,446,Information Technology,Electronic Manufacturing Services
TechnipFMC,Douglas J. Pferdehirt,15351206,63294,243,Energy,Oil & Gas Equipment & Services
Teledyne Technologies,na,-1,-1,-1,Industrials,Aerospace & Defense
Teleflex,Liam J. Kelly,6782758,46589,146,Health Care,Health Care Equipment
Teradyne,Mark E. Jagiela,8007913,97185,82,Information Technology,Semiconductor Equipment
Texas Instruments,Richard K. Templeton,18655972,82034,227,Information Technology,Semiconductors
Textron Inc.,Scott C. Donnelly,18942936,99196,191,Industrials,Aerospace & Defense
Thermo Fisher Scientific,Marc N. Casper,19023145,80915,235,Health Care,Life Sciences Tools & Services
Tiffany & Co.,Alessandro Bogliolo,10940139,33642,325,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
TJX Companies Inc.,na,-1,-1,-1,Consumer Discretionary,Apparel Retail
Tractor Supply Company,na,-1,-1,-1,Consumer Discretionary,Specialty Stores
Trane Technologies plc,na,-1,-1,-1,Industrials,Building Products
TransDigm Group,Kevin Stein,13135200,44072,298,Industrials,Aerospace & Defense
The Travelers Companies Inc.,na,-1,-1,-1,Financials,Property & Casualty Insurance
Truist Financial,na,-1,-1,-1,Financials,Regional Banks
"Twitter, Inc.",Jack Dorsey,1,213155,0,Communication Services,Interactive Media & Services
Tyler Technologies,H. Lynn Moore Jr.,19835252,84516,235,Information Technology,Application Software
Tyson Foods,na,-1,-1,-1,Consumer Staples,Packaged Foods & Meats
"UDR, Inc.",Thomas W. Toomey,6307734,66909,94,Real Estate,Residential REITs
Ulta Beauty,Mary N. Dillon,14257713,25666,556,Consumer Discretionary,Specialty Stores
U.S. Bancorp,na,-1,-1,-1,Financials,Diversified Banks
Under Armour,Kevin Plank,5954169,12126,491,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Union Pacific Corp,Lance M. Fritz,15018400,79446,189,Industrials,Railroads
United Airlines Holdings,Oscar Munoz,12643005,74750,169,Industrials,Airlines
UnitedHealth Group Inc.,David S. Wichmann,18907522,54322,348,Health Care,Managed Health Care
United Parcel Service,David P. Abney,18040841,74395,243,Industrials,Air Freight & Logistics
"United Rentals, Inc.",Matthew Flannery,6215830,73881,84,Industrials,Trading Companies & Distributors
Universal Health Services,na,-1,-1,-1,Health Care,Health Care Facilities
Unum Group,Richard P. McKenney,9896861,62475,158,Financials,Life & Health Insurance
VF Corporation,Steven E. Rendle,17842521,10099,1767,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Valero Energy,Joseph W. Gorder,28175952,272417,103,Energy,Oil & Gas Refining & Marketing
Varian Medical Systems,Dow R. Wilson,9446296,109548,86,Health Care,Health Care Equipment
Ventas Inc,Debra A. Cafaro,11348335,101004,112,Real Estate,Health Care REITs
Verisign Inc.,D. James Bidzos,9024073,180475,50,Information Technology,Internet Services & Infrastructure
Verisk Analytics,Scott G. Stephenson,9050882,77055,117,Industrials,Research & Consulting Services
Verizon Communications,Hans Vestberg,18111823,172971,105,Communication Services,Integrated Telecommunication Services
Vertex Pharmaceuticals Inc,Jeffrey M. Leiden,18800000,232178,81,Health Care,Biotechnology
ViacomCBS,na,-1,-1,-1,Communication Services,Movies & Entertainment
Visa Inc.,Alfred F. Kelly Jr.,24265771,142494,170,Information Technology,Data Processing & Outsourced Services
Vontier,na,-1,-1,-1,Information Technology,Electronic Equipment & Instruments
Vornado Realty Trust,Steven Roth,11466885,65442,175,Real Estate,Office REITs
Vulcan Materials,J. Thomas Hill,9574528,85562,112,Materials,Construction Materials
W. R. Berkley Corporation,na,-1,-1,-1,Financials,Property & Casualty Insurance
Westinghouse Air Brake Technologies Corp,na,-1,-1,-1,Industrials,Construction Machinery & Heavy Trucks
Walmart,C. Douglas McMillon,22105350,22484,983,Consumer Staples,Hypermarkets & Super Centers
Walgreens Boots Alliance,Stefano Pessina,19156202,34074,562,Consumer Staples,Drug Retail
DISNEY WALT CO,Robert A. Iger,47525560,52184,911,Communication Services,Movies & Entertainment
Waste Management Inc.,James C. Fish Jr.,11298101,76048,149,Industrials,Environmental & Facilities Services
Waters Corporation,Christopher J. O'Connell,8258221,78872,105,Health Care,Health Care Distributors
WEC Energy Group,J. Kevin Fletcher,9262101,127703,73,Utilities,Electric Utilities
Wells Fargo,na,-1,-1,-1,Financials,Diversified Banks
Welltower Inc.,Thomas J. DeRosa,13142124,90811,145,Real Estate,Health Care REITs
West Pharmaceutical Services,na,-1,-1,-1,Health Care,Health Care Supplies
Western Digital,Stephen D. Milligan,12866469,10063,1279,Information Technology,"Technology Hardware, Storage & Peripherals"
Western Union Co,Hikmet Ersek,10099500,31966,316,Information Technology,Data Processing & Outsourced Services
WestRock,Steven C. Voorhees,11659257,58183,200,Materials,Paper Packaging
Weyerhaeuser,Devin W. Stockfish,9957168,63464,157,Real Estate,Specialized REITs
Whirlpool Corp.,Marc R. Bitzer,14011663,20765,675,Consumer Discretionary,Household Appliances
Williams Companies,na,-1,-1,-1,Energy,Oil & Gas Storage & Transportation
Willis Towers Watson,John Haley,18691731,70319,266,Financials,Insurance Brokers
Wynn Resorts Ltd,Matt Maddox,17227260,44492,387,Consumer Discretionary,Casinos & Gaming
Xcel Energy Inc,Ben Fowke,12147768,108946,112,Utilities,Multi-Utilities
Xerox,Giovanni (John) Visentin,23902481,43953,544,Information Technology,"Technology Hardware, Storage & Peripherals"
Xilinx,Victor Peng,11222252,133233,84,Information Technology,Semiconductors
Xylem Inc.,Patrick K. Decker,8300000,49549,168,Industrials,Industrial Machinery
Yum! Brands Inc,Greg Creed,16369090,11584,1413,Consumer Discretionary,Restaurants
Zebra Technologies,na,-1,-1,-1,Information Technology,Electronic Equipment & Instruments
Zimmer Biomet,na,-1,-1,-1,Health Care,Health Care Equipment
Zions Bancorp,na,-1,-1,-1,Financials,Regional Banks
Zoetis,Juan Ramón Alaix,11669400,75366,155,Health Care,Pharmaceuticals
