Company Name,CEO Name,CEO Pay,Median Employee Pay,CEO Pay Ratio,GICS Sector,GICS Sub-Industry
Cboe Global Markets,Edward T. Tilly,8212785,166086,49,Financials,Financial Exchanges & Data
CBRE Group,Robert E. Sulentic,10347557,65849,157,Real Estate,Real Estate Services
CDW,Christine A. Leahy,6191797,93452,66,Information Technology,Technology Distributors
Celanese,Lori J. Ryerkerk,8001982,82366,97,Materials,Specialty Chemicals
Centene Corporation,Michael F. Neidorff,26448425,68987,383,Health Care,Managed Health Care
CenterPoint Energy,Scott M. Prochazka,7724121,102957,75,Utilities,Multi-Utilities
Cerner,Brent Shafer,9798716,64784,151,Health Care,Health Care Technology
CF Industries Holdings Inc,W. Anthony Will,7758005,107901,72,Materials,Fertilizers & Agricultural Chemicals
Charles Schwab Corporation,na,-1,-1,-1,Financials,Investment Banking & Brokerage
Charter Communications,na,-1,-1,-1,Communication Services,Cable & Satellite
Chevron Corp.,M. K. Wirth,33070662,140063,236,Energy,Integrated Oil & Gas
Chipotle Mexican Grill,BRIAN NICCOL,336000000,13779,24385,Consumer Discretionary,Restaurants
Chubb Limited,na,-1,-1,-1,Financials,Property & Casualty Insurance
Church & Dwight,Matthew T. Farrell,8985122,65894,136,Consumer Staples,Household Products
CIGNA Corp.,David M. Cordani,19303032,62946,307,Health Care,Managed Health Care
Cincinnati Financial,Steven J. Johnston,5528654,96112,58,Financials,Property & Casualty Insurance
Cintas Corporation,Scott D. Farmer,6698520,55712,120,Industrials,Diversified Support Services
Cisco Systems,Charles H. Robbins,25829833,142593,181,Information Technology,Communications Equipment
Citigroup Inc.,Michael Corbat,25521414,52988,482,Financials,Diversified Banks
Citizens Financial Group,Bruce Van Saun,9898442,66497,149,Financials,Regional Banks
Citrix Systems,David J. Henshall,19253101,170433,113,Information Technology,Application Software
The Clorox Company,na,-1,-1,-1,Consumer Staples,Household Products
CME Group Inc.,Terrence A. Duffy,11867214,145478,82,Financials,Financial Exchanges & Data
CMS Energy,Patricia K. Poppe,8986702,122783,73,Utilities,Multi-Utilities
Coca-Cola Company,James Quincey,18701149,11285,1657,Consumer Staples,Soft Drinks
Cognizant Technology Solutions,Brian Humphries,16503792,32084,514,Information Technology,IT Consulting & Other Services
Colgate-Palmolive,Ian M. Cook,11551328,24513,471,Consumer Staples,Household Products
Comcast Corp.,Brian L. Roberts,35041029,82205,426,Communication Services,Cable & Satellite
Comerica Inc.,Curtis C. Farmer,14632651,85981,170,Financials,Diversified Banks
Conagra Brands,Sean Connolly,14392748,45590,316,Consumer Staples,Packaged Foods & Meats
Concho Resources,Timothy A. Leach,12980443,157850,82,Energy,Oil & Gas Exploration & Production
ConocoPhillips,R. M. Lance,30381543,186334,163,Energy,Oil & Gas Exploration & Production
Consolidated Edison,John McAvoy,15345285,215556,71,Utilities,Electric Utilities
Constellation Brands,Robert Sands,10312778,53851,192,Consumer Staples,Distillers & Vintners
The Cooper Companies,na,-1,-1,-1,Health Care,Health Care Supplies
Copart Inc,A. Jayson Adair,156315,35360,4,Industrials,Diversified Support Services
Corning Inc.,Wendell P. Weeks,14283654,49121,291,Information Technology,Electronic Components
Corteva,James C. Collins Jr.,11357053,80757,141,Materials,Fertilizers & Agricultural Chemicals
Costco Wholesale Corp.,W. Craig Jelinek,8016200,47312,169,Consumer Staples,Hypermarkets & Super Centers
Crown Castle International Corp.,Jay A. Brown,9025526,111866,81,Real Estate,Specialized REITs
CSX Corp.,James M. Foote,15537181,107632,144,Industrials,Railroads
Cummins Inc.,N. T. Linebarger,25116751,73480,342,Industrials,Industrial Machinery
CVS Health,Larry J. Merlo,21953040,35529,618,Health Care,Health Care Services
D. R. Horton,David V. Auld,14377638,86531,166,Consumer Discretionary,Homebuilding
Danaher Corp.,Thomas P. Joyce Jr.,18193200,74672,244,Health Care,Health Care Equipment
Darden Restaurants,Eugene I. Lee Jr.,10710578,18175,589,Consumer Discretionary,Restaurants
DaVita Inc.,Kent J. Thiry,32031175,60889,526,Health Care,Health Care Facilities
Deere & Co.,Samuel R. Allen,21697885,80267,270,Industrials,Agricultural & Farm Machinery
Delta Air Lines Inc.,Edward H. Bastian,17325379,118198,147,Industrials,Airlines
Dentsply Sirona,Donald M. Casey Jr.,11366243,50861,223,Health Care,Health Care Supplies
Devon Energy,David A. Hager,12500000,158000,79,Energy,Oil & Gas Exploration & Production
DexCom,Kevin Sayer,10279373,94523,109,Health Care,Health Care Equipment
Diamondback Energy,Travis D. Stice,16049655,137832,116,Energy,Oil & Gas Exploration & Production
Digital Realty Trust Inc,A. William Stein,12337700,157230,78,Real Estate,Specialized REITs
Discover Financial Services,na,-1,-1,-1,Financials,Consumer Finance
"Discovery, Inc.",David M. Zaslav,45843912,79343,578,Communication Services,Broadcasting
Dish Network,W. Erik Carlson,1007020,54685,18,Communication Services,Cable & Satellite
Dollar General,Todd J. Vasos,12008059,14571,824,Consumer Discretionary,General Merchandise Stores
Dollar Tree,Gary Philbin,10604621,15375,690,Consumer Discretionary,General Merchandise Stores
Dominion Energy,Thomas F. Farrell II,17257035,145136,119,Utilities,Electric Utilities
Domino's Pizza,Richard E. Allison Jr.,5495804,17919,307,Consumer Discretionary,Restaurants
Dover Corporation,Richard J. Tobin,9149075,45141,203,Industrials,Industrial Machinery
Dow Inc.,Jim Fitterling,15878639,109556,145,Materials,Commodity Chemicals
DTE Energy Co.,Gerardo Norcia,8776433,119157,74,Utilities,Multi-Utilities
Duke Energy,Lynn J. Good,15029386,123608,122,Utilities,Electric Utilities
Duke Realty Corp,James B. Connor,6693904,122714,55,Real Estate,Industrial REITs
DuPont de Nemours Inc,Edward D. Breen,18675301,75018,249,Materials,Specialty Chemicals
DXC Technology,Michael J. Salvino,18973666,41602,456,Information Technology,IT Consulting & Other Services
Eastman Chemical,Mark J. Costa,14556133,81638,178,Materials,Diversified Chemicals
Eaton Corporation,C. Arnold,19980672,57712,346,Industrials,Electrical Components & Equipment
eBay Inc.,na,-1,-1,-1,Consumer Discretionary,Internet & Direct Marketing Retail
Ecolab Inc.,Douglas M. Baker Jr.,19803193,54234,365,Materials,Specialty Chemicals
Edison Int'l,na,-1,-1,-1,Utilities,Electric Utilities
Edwards Lifesciences,Michael A. Mussallem,11520973,64517,179,Health Care,Health Care Equipment
Electronic Arts,ANDREW WILSON,21365751,97986,218,Communication Services,Interactive Home Entertainment
Emerson Electric Company,D. N. Farr,20310575,47415,428,Industrials,Electrical Components & Equipment
Entergy Corp.,Leo P. Denault,14264249,129663,110,Utilities,Electric Utilities
EOG Resources,William R. Thomas,12751421,175681,73,Energy,Oil & Gas Exploration & Production
Equifax Inc.,Mark W. Begor,14281552,72230,198,Industrials,Research & Consulting Services
Equinix,Charles Meyers,12573795,97035,130,Real Estate,Specialized REITs
Equity Residential,David J. Neithercut,11004730,57841,190,Real Estate,Residential REITs
"Essex Property Trust, Inc.",Michael J. Schall,6419864,74338,86,Real Estate,Residential REITs
Estée Lauder Companies,na,-1,-1,-1,Consumer Staples,Personal Products
Etsy,Josh Silverman,1044083,173680,6,Consumer Discretionary,Internet & Direct Marketing Retail
Evergy,Terry Bassham,5793975,153717,38,Utilities,Electric Utilities
Eversource Energy,James J. Judge,19806088,133899,148,Utilities,Multi-Utilities
Everest Re Group Ltd.,Dominic J. Addesso,7626619,144915,53,Financials,Reinsurance
Exelon Corp.,Christopher M. Crane,15400000,126000,122,Utilities,Multi-Utilities
Expedia Group,na,-1,-1,-1,Consumer Discretionary,Internet & Direct Marketing Retail
Expeditors,na,-1,-1,-1,Industrials,Air Freight & Logistics
Extra Space Storage,Joseph D. Margolis,6284975,38658,163,Real Estate,Specialized REITs
Exxon Mobil Corp.,D. W. Woods,23529292,173712,135,Energy,Integrated Oil & Gas
F5 Networks,François Locoh-Donou,9473457,176749,54,Information Technology,Communications Equipment
"Facebook, Inc.",Mark Zuckerberg,23415973,247883,94,Communication Services,Interactive Media & Services
