Company Name,CEO Name,CEO Pay,Median Employee Pay,CEO Pay Ratio,GICS Sector,GICS Sub-Industry,From Salary.com?
The Clorox Company,Benno Dorer,12423899,75157,165,Consumer Staples,Household Products,yes
CME Group Inc.,Terrence A. Duffy,11867214,145478,82,Financials,Financial Exchanges & Data,yes
CMS Energy,Patricia K. Poppe,8986702,122783,73,Utilities,Multi-Utilities,yes
Coca-Cola Company,James Quincey,18701149,11285,1657,Consumer Staples,Soft Drinks,yes
Cognizant Technology Solutions,Brian Humphries,16503792,32084,514,Information Technology,IT Consulting & Other Services,yes
Colgate-Palmolive,Ian M. Cook,11551328,24513,471,Consumer Staples,Household Products,yes
Comcast Corp.,Brian L. Roberts,35041029,82205,426,Communication Services,Cable & Satellite,yes
Comerica Inc.,Curtis C. Farmer,14632651,85981,170,Financials,Diversified Banks,yes
Conagra Brands,Sean Connolly,14392748,45590,316,Consumer Staples,Packaged Foods & Meats,yes
Concho Resources,Timothy A. Leach,12980443,157850,82,Energy,Oil & Gas Exploration & Production,yes
ConocoPhillips,R. M. Lance,30381543,186334,163,Energy,Oil & Gas Exploration & Production,yes
Consolidated Edison,John McAvoy,15345285,215556,71,Utilities,Electric Utilities,yes
Constellation Brands,Robert Sands,10312778,53851,192,Consumer Staples,Distillers & Vintners,yes
The Cooper Companies,Albert G. White III,7724746,39775,194,Health Care,Health Care Supplies,yes
Copart Inc,A. Jayson Adair,156315,35360,4,Industrials,Diversified Support Services,yes
Corning Inc.,Wendell P. Weeks,14283654,49121,291,Information Technology,Electronic Components,yes
Corteva,James C. Collins Jr.,11357053,80757,141,Materials,Fertilizers & Agricultural Chemicals,yes
Costco Wholesale Corp.,W. Craig Jelinek,8016200,47312,169,Consumer Staples,Hypermarkets & Super Centers,yes
Crown Castle International Corp.,Jay A. Brown,9025526,111866,81,Real Estate,Specialized REITs,yes
CSX Corp.,James M. Foote,15537181,107632,144,Industrials,Railroads,yes
Cummins Inc.,N. T. Linebarger,25116751,73480,342,Industrials,Industrial Machinery,yes
CVS Health,Larry J. Merlo,21953040,35529,618,Health Care,Health Care Services,yes
D. R. Horton,David V. Auld,14377638,86531,166,Consumer Discretionary,Homebuilding,yes
Danaher Corp.,Thomas P. Joyce Jr.,18193200,74672,244,Health Care,Health Care Equipment,yes
Darden Restaurants,Eugene I. Lee Jr.,10710578,18175,589,Consumer Discretionary,Restaurants,yes
DaVita Inc.,Kent J. Thiry,32031175,60889,526,Health Care,Health Care Facilities,yes
Deere & Co.,Samuel R. Allen,21697885,80267,270,Industrials,Agricultural & Farm Machinery,yes
Delta Air Lines Inc.,Edward H. Bastian,17325379,118198,147,Industrials,Airlines,yes
Dentsply Sirona,Donald M. Casey Jr.,11366243,50861,223,Health Care,Health Care Supplies,yes
Devon Energy,David A. Hager,12500000,158000,79,Energy,Oil & Gas Exploration & Production,yes
